idx*act*icon_color*activity_id*keep*mime_type*mtime*preview*share_scope*timestamp*title*title_set_by_user*uid
33*NA*#FF8F00,#BE9E00*860b66dc804d99f1fc8e37de206858cb090a7f0a*NA*image/jpeg*2013-08-04T03:58:46.362597*NA*NA*1375588726*Photo by mao*NA*ca8d6d00-019b-4030-9819-b5babab3e33b
34*org.sugarlabs.InfoSlicer*#00A0FF,#9A5200*115cb11e5ec1ed732d811dac9e0765477ca5d2cf*0*NA*2013-06-02T19:38:17.258877*NA*private*1370201897*InfoSlicer Activity*0*9929704b-962c-4429-9929-41348a4a637d
35*NA*#00A0FF,#9A5200*NA*0*image/png*2013-07-14T18:05:57.776447*NA*NA*1373825157*"Screenshot of ""Analyze Journal Activity"""*NA*2ec3b484-678f-4591-bcf6-af529a8cb1b1
36*org.laptop.physics*#FF2B34,#FF8F00*7a6d6bbaf1f000f309c2d1e1015222d83e0f7c07*0*application/x-physics-activity*2013-08-02T01:13:59.311840*NA*private*1375406039*Physics Activity*0*bee08b1f-0774-4c6f-848e-d42d20cda14d
37*org.laptop.Oficina*#00A0FF,#9A5200*7777c2ef22b20dd48a04d2b633cc71ffd87b143b*0*image/png*2013-07-14T19:18:03.719403*NA*private*1373829483*Paint Activity*0*8d04250a-b586-480b-bd68-f719ace537d3
38*org.laptop.Chat*#FF2B34,#FF8F00*c1dad93f7f91c83eeed13241375f81b516b791d9*0*text/plain*2013-07-28T16:55:13.611339*NA*private*1375030513*Chat Activity*0*bbb4c605-d88a-4d96-9387-796102b6ad4d
39*org.laptop.TamTamEdit*#00A0FF,#9A5200*434c9bdfdd8b28fc51bd219df035bfc044f6dbd2*0*NA*2013-07-22T02:10:04.123136*NA*private*1374459004*TamTamEdit Activity*0*7f1d1f83-0cfd-4861-ba05-167fc6c08ab4
40*org.laptop.MeasureActivity*#00EA11,#5E008C*9f28b887045454974a650a351d8da48d82fc0f01*0*text/csv*2011-08-18T18:21:54.211292*NA*private*1313691714*Measure Activity*1*53bec112-9ada-4917-9300-b9e1de6dba8d
41*org.laptop.sugar.ReadActivity*#00A0FF,#9A5200*0a4b3a2374e5ecc3e14ee849a34994b7f7d9267b*0*application/pdf*2013-07-14T18:19:26.168426*NA*NA*1373825966*Among the Meadow People, by Clara Dillingham Pierson*1*1fa9c369-bafe-455c-bbc1-1cb6e1f7ac04
42*org.laptop.WebActivity*#00EA11,#5E008C*128c44dabd4e165878ae53c99b68f13807262930*0*text/plain*2011-11-06T13:23:19.280309*NA*private*1320614599*Download Skype for Linux*1*304217ab-6397-4cef-951e-a6e5b4453ff0
43*org.sugarlabs.AnalyzeJournal*#00A0FF,#9A5200*342ccd012144a47e6bf9c2c44584a5fcb199b379*0*application/x-chart-activity*2013-07-28T17:56:44.461170*NA*private*1375034204*Analyze Journal Activity*0*29a42b11-d9cc-4adf-ba97-a251aec8e792
44*org.laptop.WebActivity*#00A0FF,#9A5200*56dc756ea8fba5663cdede4b311bd09c3f768e1c*0*text/plain*2013-06-15T17:35:47.100523*NA*private*1371317747*OLPC Library*0*ba59d817-5e78-4fa1-b0c5-73fc789e3c5b
45*com.jotaro.ImplodeActivity*#FF8F00,#BE9E00*2d52364d5304b36d946c24213a5979062b3f025b*0*NA*2013-08-04T04:06:08.993894*NA*private*1375589168*Implode Activity*1*cc6c4e4e-e0c4-4fac-8686-eef368990273
46*com.garycmartin.Moon*#FF8F00,#BE9E00*226018b1034a0ebcd6f7badfa77f785ac7fbad85*0*NA*2013-08-04T03:59:17.767389*NA*private*1375588757*Moon Activity*1*8dcb5836-881c-40f8-a031-e0ec10da9586
47*NA*#00A0FF,#9A5200*NA*0*application/vnd.olpc-sugar*2013-07-26T16:46:04.620154*NA*NA*1374857164*analyze_journal-2.xo*NA*5c87a831-0771-41cf-a399-6084076e7aa4
48*org.laptop.sugar.ReadActivity*#00A0FF,#9A5200*1ccbabf6db2e15b4ba7ee3365b3e16800d76cd6a*0*application/pdf*2013-07-14T18:19:45.287313*NA*NA*1373825985*Grimm's Fairy Tales, by Wilhem Karl Grimm*1*287c22ce-908c-48fc-86b5-257f4af9838d
49*org.laptop.physics*#00A0FF,#9A5200*3c54cc0135b9ba64ec00c355fb5ed765536e4385*0*application/x-physics-activity*2013-07-23T12:13:21.748636*NA*private*1374581601*Physics Activity*0*e5df26bb-3b1d-4f93-a8fb-dd8bc4ebc602
50*org.sugarlabs.PortfolioActivity*#FF2B34,#FF8F00*515140cd6671a326e5f59ef50617e2a3a53d6b61*0*NA*2013-07-28T17:11:47.110181*NA*private*1375031507*Portfolio Activity*0*897abe81-2fd1-4c79-b47c-beac729c5fca
51*NA*NA*NA*NA*audio/x-mpegurl*2013-08-06T00:01:58.262880*NA*NA*1375747318*Jukebox playlist*NA*4e4affe1-4579-4442-b999-8cd0b5ae975f
52*org.laptop.Pippy*#FF2B34,#FF8F00*6e59ce428b218ef5a8a081dd2f321fb08ad756eb*0*text/x-python*2013-07-28T17:26:03.426005*NA*private*1375032363*Pippy Activity*0*ea1f0dfd-60d4-4ad4-9158-24cde1751965
53*org.laptop.ImageViewerActivity*#00A0FF,#9A5200*3dd9dda1e881483a898f8886479c715de34da038*0*image/png*2013-06-17T02:31:28.520021*NA*NA*1371436288*"Screenshot of ""Tahoe-LAFS - Welcome"""*NA*b29d662a-a655-4a4c-b04a-6c9095ba4929
54*NA*NA*NA*NA*audio/x-mpegurl*2013-08-02T01:16:52.976287*NA*NA*1375406212*Jukebox playlist*NA*f794fc08-3d15-45c1-8e37-27dc55a68d0e
